#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d5158bc540ac229a35b62f08e71bca04 -            719     4e-34  104.4   0.0   1   1   7.8e-34   7.8e-34  103.4   0.0    14   223    76   279    62   279 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e6208d15ca846b509ab20a4a7cdf245d -            837   6.8e-14   38.2   1.8   3   3      0.28      0.28   -3.1   0.1   174   193   424   443   389   456 0.49 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b89b12e91635ae7b24f3071a0af16c31 -           1146   4.7e-29   87.8   0.2   1   2   4.7e-29   4.7e-29   87.8   0.2    18   223    71   274    52   274 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b89b12e91635ae7b24f3071a0af16c31 -           1146   4.7e-29   87.8   0.2   2   2      0.57      0.57   -4.1   0.3    17    67   393   440   386   444 0.46 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e8d0eb3a66c1908dc8f221b78118347c -           1212   5.8e-31   94.0   0.0   1   1   1.4e-30   1.4e-30   92.8   0.0    36   223   126   306   107   306 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d512f6144b191507c25fede7b58c1fe2 -           1226   1.8e-30   92.4   0.1   1   3   1.8e-30   1.8e-30   92.4   0.1    36   223   127   307   108   307 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d512f6144b191507c25fede7b58c1fe2 -           1226   1.8e-30   92.4   0.1   2   3      0.59      0.59   -4.1   0.1    36    64   698   726   690   734 0.51 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d512f6144b191507c25fede7b58c1fe2 -           1226   1.8e-30   92.4   0.1   3   3         1         1   -5.0   1.3   172   205  1148  1184  1142  1197 0.56 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2d94606920cef56e335e47a15e8a5dc5 -            687   2.6e-14   39.6   2.5   1   1   4.8e-14   4.8e-14   38.7   2.5    63   223   141   302   132   302 0.70 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f0a18899aeaba9c7641af6dd136115c2 -           1280   1.7e-25   76.1   1.6   1   1   1.3e-23   1.3e-23   69.9   1.6    42   223   111   308    81   308 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f95083bd46593ecd4c05655f0610ecff -           1168   6.4e-32   97.2   0.0   1   1   1.6e-31   1.6e-31   95.8   0.0    14   221    89   292    82   294 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 af7e62889a994b5050b6a58f1c190206 -            637   1.6e-29   89.3   0.2   1   1   2.5e-29   2.5e-29   88.7   0.2    32   222    98   275    66   276 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9559ad1e54eb74b71205a930c7cd4214 -           1134   7.4e-32   96.9   0.1   1   1   1.8e-31   1.8e-31   95.7   0.1    30   223    95   280    62   280 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bda838ff7c880e75ef335eb744e89925 -           1160     8e-29   87.0   0.4   1   1   1.8e-28   1.8e-28   85.9   0.4    16   222   111   312    98   313 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1f979ee3a2d7a750b82c862b57562136 -           1154   2.6e-30   91.9   0.3   1   3   2.6e-30   2.6e-30   91.9   0.3    19   223    88   282    63   282 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1f979ee3a2d7a750b82c862b57562136 -           1154   2.6e-30   91.9   0.3   2   3      0.18      0.18   -2.4   0.4    16    69   400   450   390   454 0.60 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1f979ee3a2d7a750b82c862b57562136 -           1154   2.6e-30   91.9   0.3   3   3      0.26      0.26   -3.0   0.2    18    66   547   596   542   614 0.62 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 73a287442a2f75754f32a5c7277cbd24 -            695   4.1e-21   61.8   0.0   1   1   6.5e-21   6.5e-21   61.2   0.0     3   223    77   292    75   292 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 93f1d3a91a1bfe88015a04f4fa178bca -           1216   6.2e-29   87.4   0.1   1   1   1.2e-28   1.2e-28   86.4   0.1    19   223    99   295    79   295 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6aa5c8a2021a3bfb64365205cacb9205 -           1264   2.5e-31   95.2   0.8   1   2   7.2e-31   7.2e-31   93.7   0.1    22   223   102   295    79   295 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6aa5c8a2021a3bfb64365205cacb9205 -           1264   2.5e-31   95.2   0.8   2   2      0.19      0.19   -2.5   0.0    12    39   428   453   420   457 0.77 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f5426aa51ca7ff6384725c62bc1b13e7 -           1204   8.3e-28   83.7   0.3   1   1   2.7e-27   2.7e-27   82.0   0.3     9   223   111   316   104   316 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1a899ecc6a88530a4403fb1398ba3c34 -           1275   4.3e-25   74.8   0.0   1   1   7.7e-25   7.7e-25   74.0   0.0    12   223    99   309    86   309 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 950e4305adc673f540012b1981bfcb88 -           1138   4.7e-30   91.1   0.1   1   1   1.9e-29   1.9e-29   89.0   0.1    37   221    99   276    63   278 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9a00d4658f9cea7fbc914bc35c05ad96 -           1145   3.6e-32   98.0   1.6   1   2   4.9e-32   4.9e-32   97.5   0.3    35   223    97   278    61   278 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9a00d4658f9cea7fbc914bc35c05ad96 -           1145   3.6e-32   98.0   1.6   2   2      0.55      0.55   -4.0   0.0    89   119   651   675   636   685 0.59 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ab56b1d4b2bcd643cf0be3e6b8e53c3c -           1138   9.5e-33   99.9   0.3   1   1   3.4e-32   3.4e-32   98.0   0.3    35   223    97   278    61   278 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6de9ca8bb2626667214da59a86d97cfe -           1138   1.6e-31   95.8   0.4   1   1     5e-31     5e-31   94.2   0.4    32   223    97   278    61   278 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 900c43c97a1fe2746c5e99037350bc33 -           1138   2.3e-32   98.6   2.2   1   2   3.4e-32   3.4e-32   98.1   0.3    34   223    96   278    61   278 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 900c43c97a1fe2746c5e99037350bc33 -           1138   2.3e-32   98.6   2.2   2   2       0.1       0.1   -1.6   0.1    87   122   645   674   636   684 0.72 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4166f2799238760c73d3ff835f2e93ec -            688   2.5e-12   33.1   0.1   1   1   4.6e-12   4.6e-12   32.2   0.1     4   223    77   301    74   301 0.71 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dbd50bb14494600ff35f0cce9e177179 -            664   4.1e-13   35.7   0.1   1   1   7.5e-13   7.5e-13   34.8   0.1    65   223   143   301    88   301 0.77 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 01c7dcf7a78e24280561dc5393e51847 -            664   2.1e-12   33.3   0.1   1   1   3.5e-12   3.5e-12   32.6   0.1    65   223   143   301    88   301 0.76 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f79d6a214b3be97cc60571db16d4eaff -            679   1.1e-24   73.5   0.7   1   1   2.3e-24   2.3e-24   72.5   0.7     4   223    75   286    72   286 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dcc942b162780437555199e33f4070a3 -            675   1.4e-23   69.9   2.2   1   2   1.4e-23   1.4e-23   69.9   2.2    24   222   105   293    83   294 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dcc942b162780437555199e33f4070a3 -            675   1.4e-23   69.9   2.2   2   2     0.044     0.044   -0.4   0.3   164   212   294   338   292   345 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 336ea16539126e3ee151dabb0312e01f -            632   3.3e-34  104.7   0.5   1   1   4.8e-34   4.8e-34  104.1   0.5     2   222    54   262    53   263 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ec20d02d995f004b883a3946060ca2a0 -            633     7e-34  103.6   0.4   1   1   1.1e-33   1.1e-33  103.0   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3ab864ca2578d651428f48d285c42045 -            632   5.7e-33  100.6   0.6   1   1   8.5e-33   8.5e-33  100.0   0.6    30   222    83   262    53   263 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f6507a964f1ead8ba892d6ab7f26079d -            623   5.4e-31   94.1   0.2   1   1   8.7e-31   8.7e-31   93.5   0.2    26   222    79   262    53   263 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 69e790cd88081d04e405b9a07cad6de8 -            633   2.8e-33  101.6   0.8   1   1   4.5e-33   4.5e-33  100.9   0.8    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3bbd767d66bf95ee1fdb4c094659bff8 -            633   3.8e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 021361bd7ae959e44c48f7af177952b5 -            633   1.3e-34  105.9   0.4   1   1     2e-34     2e-34  105.3   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1c97ccb061537a05c4e466fbca7943ac -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 03eae720af38536fab0864c0dce160c4 -            551   1.1e-34  106.2   0.5   1   1   1.6e-34   1.6e-34  105.6   0.5     2   222    54   262    53   263 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8e31154e48ea67c66f8f26f0d0275ff8 -            695   9.6e-23   67.2   3.1   1   2   9.6e-23   9.6e-23   67.2   3.1    13   222   115   309    99   310 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8e31154e48ea67c66f8f26f0d0275ff8 -            695   9.6e-23   67.2   3.1   2   2     0.048     0.048   -0.5   0.2   164   212   310   354   307   361 0.77 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dfb082222aaa6b0fcbee1ea4f83def44 -            644   1.2e-33  102.8   1.7   1   2     0.011     0.011    1.5   0.0    27    70    29    71    24    80 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dfb082222aaa6b0fcbee1ea4f83def44 -            644   1.2e-33  102.8   1.7   2   2   4.8e-33   4.8e-33  100.8   0.5    11   223    79   287    65   287 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d735456d02470f7ed4b79ed220a07828 -            652   7.7e-32   96.9   0.0   1   1   1.7e-31   1.7e-31   95.8   0.0     3   223    67   288    65   288 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d5c80851c5b3794b81113d9746a32d2d -            652   6.8e-32   97.1   0.0   1   1   1.6e-31   1.6e-31   95.8   0.0     2   223    66   288    65   288 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d8bbab661639e2fc1e04b67f6174c2d3 -            651   1.6e-32   99.1   0.5   1   2     0.037     0.037   -0.2   0.0    28    65    30    66    27    75 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d8bbab661639e2fc1e04b67f6174c2d3 -            651   1.6e-32   99.1   0.5   2   2   5.6e-32   5.6e-32   97.4   0.1     2   223    66   288    65   288 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bd35c3ee3c7a76fcab0eb02293c877b8 -            683   2.2e-14   39.8   0.0   1   1   4.4e-14   4.4e-14   38.8   0.0     4   223    77   301    74   301 0.71 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 efa2bba780930f5010589e4174cb37ed -            675   1.9e-25   76.0   2.9   1   1   3.8e-25   3.8e-25   75.0   2.9    52   223   129   300    95   300 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9cfa7c0e6d9234934566ad65cd3f3aaa -            688   5.8e-24   71.1   0.8   1   1   9.5e-24   9.5e-24   70.4   0.8    14   223    84   294    72   294 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cbb8b0e6ca1643fb62374b4ceb044e59 -            765   1.1e-20   60.5   0.6   1   4   1.1e-20   1.1e-20   60.5   0.6    46   223   106   279    92   279 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cbb8b0e6ca1643fb62374b4ceb044e59 -            765   1.1e-20   60.5   0.6   2   4      0.27      0.27   -3.0   4.7   163   214   639   689   635   692 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cbb8b0e6ca1643fb62374b4ceb044e59 -            765   1.1e-20   60.5   0.6   3   4         1         1   -8.4  14.5   160   202   671   713   650   725 0.77 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cbb8b0e6ca1643fb62374b4ceb044e59 -            765   1.1e-20   60.5   0.6   4   4         1         1   -9.0  12.7   161   200   701   741   680   753 0.60 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7402f01c55f6f92ada40ffe94196799f -           1180   1.1e-22   67.0   3.2   1   3   1.1e-22   1.1e-22   67.0   3.2    36   223   112   314    80   314 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7402f01c55f6f92ada40ffe94196799f -           1180   1.1e-22   67.0   3.2   2   3     0.023     0.023    0.5   0.7    34    72   693   732   686   759 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7402f01c55f6f92ada40ffe94196799f -           1180   1.1e-22   67.0   3.2   3   3      0.17      0.17   -2.4   0.2   160   198   962  1000   949  1022 0.42 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e7128e3ed280f12a4711379f09261706 -           1180   8.6e-23   67.3   3.3   1   3   8.6e-23   8.6e-23   67.3   3.3    36   223   112   314    80   314 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e7128e3ed280f12a4711379f09261706 -           1180   8.6e-23   67.3   3.3   2   3     0.023     0.023    0.5   0.7    34    72   693   732   686   759 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e7128e3ed280f12a4711379f09261706 -           1180   8.6e-23   67.3   3.3   3   3      0.17      0.17   -2.4   0.2   160   198   962  1000   949  1022 0.42 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4fa5f7c5bd4d43d8db122183a4a9facd -            686   2.9e-23   68.8   0.4   1   1   4.7e-23   4.7e-23   68.2   0.4   114   223   189   293    70   293 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6c7da66bc9fdaf6dbe11e555fdbb42af -            675   2.4e-21   62.6   0.0   1   1   3.8e-21   3.8e-21   61.9   0.0    32   221    97   293    68   295 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1e18065d7f0bbd5715122c6a71f121a6 -            753   2.2e-24   72.5   0.2   1   4   2.2e-24   2.2e-24   72.5   0.2    14   223    79   280    67   280 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1e18065d7f0bbd5715122c6a71f121a6 -            753   2.2e-24   72.5   0.2   2   4      0.54      0.54   -4.0   6.6   164   214   640   688   630   698 0.59 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1e18065d7f0bbd5715122c6a71f121a6 -            753   2.2e-24   72.5   0.2   3   4         1         1   -5.8   8.2   161   185   682   706   659   734 0.52 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1e18065d7f0bbd5715122c6a71f121a6 -            753   2.2e-24   72.5   0.2   4   4     0.043     0.043   -0.4   1.2   165   183   714   732   692   749 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c71c472a027923d6803a73bd11ec356b -            684   1.8e-13   36.9   0.0   1   1   2.8e-13   2.8e-13   36.2   0.0    59   223   137   301    74   301 0.68 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1d941c87b0b5b2a12cf881be7ea75cfc -            684     3e-12   32.8   0.0   1   1   4.9e-12   4.9e-12   32.1   0.0    58   223   143   301    74   301 0.67 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 84b0b5e5b23be0cb6ec149d8acf882de -           1258   4.4e-29   87.9   0.1   1   2     1e-28     1e-28   86.7   0.0    16   223    91   302    79   302 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 84b0b5e5b23be0cb6ec149d8acf882de -           1258   4.4e-29   87.9   0.1   2   2      0.46      0.46   -3.8   0.0    82   119   682   714   674   728 0.56 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c0a641ec6a3d16d17f84ec972c22d67b -            681     1e-28   86.7   0.5   1   2   1.9e-23   1.9e-23   69.5   0.0    10   186    93   265    82   278 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c0a641ec6a3d16d17f84ec972c22d67b -            681     1e-28   86.7   0.5   2   2   2.1e-06   2.1e-06   13.7   1.4   195   223   299   327   288   327 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 df1909e002bf13acb4b4ab0f7109e384 -           1270   1.1e-24   73.5   0.1   1   1   1.9e-24   1.9e-24   72.7   0.1    14   223   103   316    93   316 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d95a5b45363fb409fae62ef980a22909 -           1258   1.3e-25   76.5   0.0   1   1   2.5e-25   2.5e-25   75.6   0.0     6   223    77   302    72   302 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1d27a6352b5a8c5a85f5950458eeb8d9 -           1156   1.8e-18   53.2   0.0   1   1   3.5e-18   3.5e-18   52.2   0.0     7   223    68   287    61   287 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2c63a9cc734ab8b9228b24e4543b1e8c -           1151   3.7e-19   55.4   0.0   1   1   7.4e-19   7.4e-19   54.4   0.0     7   223    68   287    61   287 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 17c18b0c27c0e1e109fecd15e97cbb65 -           1229   1.4e-19   56.8   0.0   1   2   4.5e-19   4.5e-19   55.2   0.0     7   223    68   287    61   287 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 17c18b0c27c0e1e109fecd15e97cbb65 -           1229   1.4e-19   56.8   0.0   2   2      0.16      0.16   -2.3   0.1    93   124   959   991   932   993 0.76 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e733bcf57fddd32b717f3e39a137f156 -           1256     7e-32   97.0   0.2   1   1   1.7e-31   1.7e-31   95.8   0.2    11   223    93   291    75   291 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 99fcc854f9118df473a1099f7ced7406 -           1250     1e-23   70.3   1.9   1   1   9.1e-22   9.1e-22   64.0   1.9    40   223   113   317    84   317 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 490fc03c5f911b52ede9347190bbe557 -            802   1.2e-30   93.0   1.1   1   2   3.3e-26   3.3e-26   78.5   0.0    13   203    85   270    73   284 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 490fc03c5f911b52ede9347190bbe557 -            802   1.2e-30   93.0   1.1   2   2   5.3e-06   5.3e-06   12.4   1.0   196   223   285   312   277   312 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 74b35fd825d1233ea87c7d94293a3db7 -           1237   9.5e-25   73.7   1.2   1   1   4.2e-23   4.2e-23   68.3   1.2    41   223   111   309    70   309 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1031904f304604a4ffb646a632564d91 -           1247     2e-25   75.9   0.0   1   1   3.8e-25   3.8e-25   75.0   0.0     6   223    77   302    72   302 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 83f3da68fb8d7c7f4c483d1467e7057c -            829   5.6e-28   84.3   4.0   1   3   4.4e-26   4.4e-26   78.1   0.0    31   204   100   279    81   289 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 83f3da68fb8d7c7f4c483d1467e7057c -            829   5.6e-28   84.3   4.0   2   3   2.3e-06   2.3e-06   13.6   0.5   161   223   257   319   255   319 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 83f3da68fb8d7c7f4c483d1467e7057c -            829   5.6e-28   84.3   4.0   3   3      0.25      0.25   -2.9   0.2   167   198   613   643   607   647 0.72 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 eb17e0f658cf848ccf57bb2590e0e78d -           1340   7.9e-27   80.5   0.0   1   1   1.8e-26   1.8e-26   79.3   0.0    16   223   100   293    87   293 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0a4be7975fb6ddfe8e6439d0c70e05a6 -            674     4e-23   68.4   3.2   1   1   7.5e-23   7.5e-23   67.5   3.2    27   222    95   278    72   279 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 70090cce77d2dff7e6b00e3635a4dcf5 -           1150   8.5e-25   73.9   0.0   1   1   1.6e-24   1.6e-24   73.0   0.0     9   222    86   292    71   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e702d85e502dd28e3ca07081338bfc88 -           1150   2.6e-24   72.3   0.0   1   1     5e-24     5e-24   71.3   0.0     9   222    86   292    71   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 383166c84d39b753922c896e178b582e -           1150   2.6e-24   72.3   0.0   1   1     5e-24     5e-24   71.3   0.0     9   222    86   292    71   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d19f1b4e05b81e4baaa00464ad0108f4 -           1150   2.6e-24   72.3   0.0   1   1     5e-24     5e-24   71.3   0.0     9   222    86   292    71   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 34fca5a62aed3f1f89249d56d83b3a46 -           1156   2.5e-23   69.1   0.0   1   1   4.4e-23   4.4e-23   68.2   0.0    12   222    84   292    69   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dcd1c8671da27c458bbaf9d36675b437 -           1168   7.9e-27   80.5   0.0   1   1   1.6e-26   1.6e-26   79.5   0.0    11   222    83   292    73   293 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2cc86ee20a05c697d1f4194f2c1ecaf4 -           1154   6.4e-25   74.3   0.1   1   1   1.2e-24   1.2e-24   73.4   0.1    11   222    83   292    69   293 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6791c1b22f43f13ba5af9caf01803476 -           1168   3.6e-28   84.9   0.1   1   1   7.2e-28   7.2e-28   83.9   0.1    11   222    83   292    73   293 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 144164119ef0ab6ce256d939b4076eea -           1164   3.4e-28   85.0   0.0   1   1   9.2e-28   9.2e-28   83.6   0.0    11   221    84   288    74   290 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 eaf711e116b46fb5f29f068c5b9c16d7 -            650   3.2e-19   55.6   0.3   1   2      0.35      0.35   -3.4   0.2    36    61    21    47    12    68 0.55 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 eaf711e116b46fb5f29f068c5b9c16d7 -            650   3.2e-19   55.6   0.3   2   2   3.2e-19   3.2e-19   55.6   0.3    63   223   143   298    89   298 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5e2cb0a3cce7c6151e6343a5ebb4de19 -           1134   2.5e-36  111.6   0.3   1   1   6.8e-36   6.8e-36  110.1   0.3    17   223    76   265    50   265 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c4bbb21d4f5fd55da327f2d11d9bb61e -           1254   2.3e-25   75.7   1.5   1   1   1.2e-23   1.2e-23   70.1   1.5    44   223   118   318    85   318 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 93a35cc778d2c6b9acb5ba7b0f1dce74 -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 866a86a1fd57bf9782839e7cbb24c30d -            633   2.1e-33  102.0   0.6   1   1   3.4e-33   3.4e-33  101.3   0.6    11   222    64   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d4294634d8a9abde3dd560b9e3eafee7 -            633   1.6e-33  102.4   0.7   1   1   2.6e-33   2.6e-33  101.7   0.7    27   222    80   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0971ea264f8ef0fcb9aaae6d898339fb -            623   1.9e-32   98.9   0.1   1   1   3.1e-32   3.1e-32   98.2   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1f435d9bd2ea36309ff523b50cbcdfcc -            633   1.1e-32   99.6   0.7   1   1   1.9e-32   1.9e-32   98.9   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4d94d1d63de384a6cc1e5cdffced828f -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7601d943289237d1c47a5c4ea84b4772 -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b2cdd900ff6632399c3533ee3fdeca5e -            633   1.6e-33  102.4   0.4   1   1   2.5e-33   2.5e-33  101.8   0.4     4   222    56   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3ae73abd05734445d1e837d089c8918c -            633   3.9e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5cac9343d47139c4718ec8fdfed07b80 -            626   3.6e-33  101.3   0.1   1   1   5.7e-33   5.7e-33  100.6   0.1     9   222    62   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bbab473633a257154a9ede4dcf0fe056 -            633   1.6e-33  102.4   0.7   1   1   2.6e-33   2.6e-33  101.7   0.7    27   222    80   262    53   263 0.84 delta endotoxin, N-terminal domain
