#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d21707e1020060dd781546c7fcc1b427 -            633   3.8e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d5babc66a06d2ee55be9aec74445ba83 -           1179   2.4e-28   85.5   0.2   1   1   4.5e-28   4.5e-28   84.6   0.2     6   222    70   296    65   297 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 45ea50316f66e778d1d8694692c3ae6e -           1144   5.7e-34  103.9   0.0   1   1   1.1e-33   1.1e-33  102.9   0.0    13   223    84   289    68   289 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8868d032fc56d40a0eca6dd73b4b1ff3 -           1164   9.4e-26   77.0   1.6   1   1   2.3e-25   2.3e-25   75.7   1.6    12   223   105   303    96   303 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 788e0bf8f5667cbc909386cd69095573 -           1231     7e-30   90.5   0.0   1   1     7e-30     7e-30   90.5   0.0    11   223   102   301    88   301 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 36ef48ad9a23479825a06c0d033517f9 -           1168   2.7e-35  108.2   0.2   1   1   6.8e-35   6.8e-35  106.9   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 02238119d9a4a382416e13db5a6c3d9b -            953   2.3e-33  101.9   0.1   1   1   7.6e-33   7.6e-33  100.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 36339a1bacc6d6d32998f8cb1e7f029e -           1175   6.9e-34  103.6   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7bd235b52ab06de162f6632f9cc20491 -           1128     2e-31   95.5   0.0   1   1     5e-31     5e-31   94.2   0.0    31   223    90   274    55   274 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 76823afc951d02879d0a018cf8842b69 -           1160   1.2e-28   86.5   0.4   1   1   4.5e-28   4.5e-28   84.6   0.0     9   223    86   290    77   290 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a658d89621f20bc22bf9e85456dfc34d -           1169   1.8e-24   72.8   0.0   1   1   6.1e-24   6.1e-24   71.1   0.0    13   223    51   245    45   245 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 313bfc235f37991b04df852a5ae59703 -            658   1.4e-22   66.6   0.0   1   1   2.1e-22   2.1e-22   66.0   0.0    39   223   101   289    60   289 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5ee8263d95ae28d65ce9e1d355335de5 -            633   2.4e-33  101.8   0.6   1   1   3.9e-33   3.9e-33  101.1   0.6    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 069ac3f98c5833fdd070991ea072c1c5 -           1177   6.9e-34  103.6   0.0   1   1   3.5e-33   3.5e-33  101.3   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6b215c4c68fae9a5a8f7df5a60c03822 -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3906c1f17800670b13dcbd9ce1235e7c -           1152   1.3e-27   83.1   0.1   1   1   3.2e-27   3.2e-27   81.8   0.1     9   222    86   292    72   293 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3ac11137da483d941e0d4f9a8399b270 -           1301   1.4e-27   83.0   0.1   1   1   1.4e-27   1.4e-27   83.0   0.1     6   223    77   302    72   302 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 614ebaf93c261df6668ec9755ce2837e -           1155     2e-09   23.6   0.0   1   1   6.4e-09   6.4e-09   21.9   0.0     8   132    50   165    46   170 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c552c0b4b8214fe56d4670c0af346c7 -            644   1.6e-33  102.4   2.0   1   1   6.6e-33   6.6e-33  100.4   0.6    15   223    83   287    65   287 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 06b49cd80fe098a0e5848c0de2480d35 -           1215   1.6e-27   82.8   0.0   1   1   3.5e-27   3.5e-27   81.7   0.0    18   223    76   276    56   276 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 67c16a61b3a642bee37983392b7ff54f -           1275   2.4e-12   33.1   5.2   1   1   1.2e-10   1.2e-10   27.6   5.2     5   223    88   326    83   326 0.69 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4fc4a56a45e803f6ed3408e01be8239d -            632     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 589af079cd933e80ba8222767cdaf5bc -           1181   1.3e-33  102.6   0.1   1   1   4.4e-33   4.4e-33  101.0   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e08cd8db2b951e64122ab1710a33adb5 -            623   1.1e-32   99.6   0.1   1   1   1.8e-32   1.8e-32   99.0   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 24fac8b4c021cb567f0adf182d373a4a -           1155   1.5e-30   92.7   0.0   1   1   4.7e-30   4.7e-30   91.1   0.0     8   223    51   248    48   248 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d122b2fe400042c7d9fe3454f15043da -            793   1.1e-31   96.4   0.0   1   1     2e-31     2e-31   95.5   0.0     8   223    43   244    39   244 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bb185decad90ae629e34becc11cd437b -            633   5.9e-34  103.8   0.5   1   1   9.4e-34   9.4e-34  103.2   0.5    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 212961cbfe06ce0122a560bf34e95a09 -           1176   1.4e-39  122.2   1.8   1   1   5.4e-39   5.4e-39  120.3   0.0     9   223    86   289    80   289 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5cbc17f2b7ed81d60826b4800e256847 -            609   3.3e-21   62.1   1.1   1   1   3.3e-21   3.3e-21   62.1   1.1    47   223    27   200     9   200 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b5c8351a5a2ca600c78d36e7234b3343 -           1131     4e-30   91.3   0.0   1   1   1.3e-29   1.3e-29   89.6   0.0    30   223    70   259    40   259 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d8e17dea92c822ef535ea42a5c8a07a7 -            661   6.9e-24   70.9   0.0   1   1     1e-23     1e-23   70.3   0.0    31   222   111   296    83   297 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1e1fea22fcdc3976cd0d23eb486d7284 -            756   2.3e-30   92.0   0.0   1   1   3.8e-30   3.8e-30   91.4   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b35ef689cd5e7970d1ed57b91c2da44d -            675   8.1e-22   64.1   3.3   1   1   1.3e-21   1.3e-21   63.4   3.3    15   223    78   279    66   279 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cbf7e7d8a19f301b121146000c4c1770 -            633   2.7e-33  101.7   0.7   1   1   4.3e-33   4.3e-33  101.0   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 24c6e7ed6f6968c01727f119a263303d -            826   8.3e-25   73.9   1.1   1   1   8.3e-25   8.3e-25   73.9   1.1    14   223   107   302    92   302 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 24464945e46efca41768f2f0e6cbf569 -            608   7.7e-34  103.4   0.0   1   1   1.1e-33   1.1e-33  102.9   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dcd98e511d520d32a7ee419dd422e6a6 -            665   1.5e-21   63.2   0.0   1   1   2.6e-21   2.6e-21   62.4   0.0    43   223   106   282    73   282 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b5f6cd38f11d87893975106191b9d33e -            632     3e-33  101.5   0.4   1   1   4.4e-33   4.4e-33  101.0   0.4    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ec3ac894ec76b5d9d8c89a7b13bf7543 -           1164   6.5e-34  103.7   0.0   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    43   244    39   244 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9714db6be08c111288fbaa471d57f650 -           1283   1.3e-26   79.8   0.0   1   1   2.6e-26   2.6e-26   78.8   0.0    39   223   123   306    92   306 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d95aa4ea1f720778e29f9404e6bff6c3 -            620   8.1e-34  103.4   0.0   1   1   1.2e-33   1.2e-33  102.8   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9c80d2640383d562474355b6c94e6f23 -            633   1.4e-33  102.6   0.3   1   1   2.3e-33   2.3e-33  101.9   0.3    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8b2b266b29a1610ce4f52d08f9148127 -           1154   1.8e-30   92.4   0.9   1   1   5.3e-30   5.3e-30   90.9   0.9     9   223    75   284    69   284 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 127c4082991b04055f1c26207092bf6e -            688   1.6e-14   40.2   0.6   1   1   2.9e-14   2.9e-14   39.4   0.6    59   223   137   301   123   301 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 902be17e4c4481b6dd39e96e083386f0 -            911   4.1e-24   71.6   0.1   1   1     9e-24     9e-24   70.5   0.0     8   223    50   248    46   248 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 41d6fc05c55107baf75ca7c44b376f58 -           1228   1.4e-28   86.2   0.0   1   1   3.4e-28   3.4e-28   85.0   0.0    15   223    73   275    59   275 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c8a63a94c9531a384262fb1296b38e1f -            703   1.1e-22   67.0   0.0   1   1   1.7e-22   1.7e-22   66.3   0.0     2   223    72   288    71   288 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 09219b083365a5ea6cb254013d23b1db -           1154   9.3e-26   77.0   0.1   1   1   1.8e-25   1.8e-25   76.0   0.1    10   222    87   292    70   293 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4381f28071ea632ab8c1889539e35e12 -           1169   2.2e-27   82.3   0.0   1   1   4.5e-27   4.5e-27   81.3   0.0    11   222    83   292    73   293 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 142711ae534591fe08a96c95b1848123 -           1174   2.8e-35  108.2   0.2   1   1   6.8e-35   6.8e-35  106.9   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b8756f69b6eb390d1bb927c7a1bdd0e5 -           1181   2.1e-33  102.0   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0c9498050cb3d854acfeefea00485c4a -           1237   1.6e-29   89.3   0.0   1   1   3.1e-29   3.1e-29   88.4   0.0    22   223    87   282    64   282 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a79591cecc99e52c88ea38347b1ae5e4 -           1205   2.6e-28   85.4   0.0   1   1     5e-28     5e-28   84.4   0.0    34   223    67   249    35   249 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0ba154ac07b51dae0ace8a73cfe60f6e -           1349   1.4e-31   96.0   0.3   1   1   2.8e-31   2.8e-31   95.1   0.3    29   223   177   371   154   371 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a32792f91064264617c42fb01f413f09 -           1136   6.7e-28   84.0   2.0   1   1   6.7e-28   6.7e-28   84.0   2.0    14   223    68   268    52   268 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bb011ea19f3c4516f627cb1cfa268e8d -           1147   1.5e-30   92.7   0.0   1   1   4.7e-30   4.7e-30   91.1   0.0     8   223    51   248    48   248 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 95c5d638bbc371f50abfb2fa08638dd6 -            633   5.6e-33  100.6   0.5   1   1     9e-33     9e-33   99.9   0.5    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0f7fc1c309e8ad1ab23c87a57502e5da -            661   2.2e-22   66.0   0.0   1   1   3.5e-22   3.5e-22   65.3   0.0    31   214   111   294    83   299 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7963bcd205b660082534d9263534afc2 -           1181   2.1e-32   98.7   0.0   1   1   7.4e-32   7.4e-32   97.0   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4b1e03185323024a8e59c90f561a78b6 -           1190   3.5e-30   91.5   0.0   1   1   8.1e-30   8.1e-30   90.3   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e521d0a5fcf62e09453261133305e121 -           1177     8e-34  103.4   0.0   1   1   4.5e-33   4.5e-33  100.9   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e9c4e620301e1a691199277452732df8 -           1225   7.7e-34  103.4   0.1   1   1   3.9e-33   3.9e-33  101.1   0.0     8   223    49   250    45   250 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d3de6800bc46e5f579931bb881baee12 -           1164   1.2e-34  106.1   0.3   1   1   2.5e-34   2.5e-34  105.0   0.0     7   223    48   250    45   250 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 74871370e3d5c9541bea072bb9de230a -            668   2.2e-30   92.2   0.1   1   1   3.4e-30   3.4e-30   91.5   0.1    10   223    89   290    80   290 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d4c80313833062ddf58c2ea42f09af87 -            719   2.2e-34  105.2   0.0   1   1   4.2e-34   4.2e-34  104.3   0.0    10   223    77   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 55692602f1447607af7b81f28f6c8fdc -           1178   6.7e-34  103.6   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 39d147f4e556f2d28d0109dc80cb278d -            633   7.9e-33  100.1   0.1   1   1   1.2e-32   1.2e-32   99.5   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 da1248e0c0babf54634bd7c8c0d95d15 -           1138   6.5e-32   97.1   0.4   1   1   2.3e-31   2.3e-31   95.3   0.4    35   223    97   278    61   278 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f5473ed1755a636023eb006cc561456e -            850   4.4e-32   97.7   0.0   1   1   7.8e-32   7.8e-32   96.9   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8a9dc1c00d22c0c0f52a237ed8688442 -            597   4.6e-33  100.9   0.0   1   1   7.4e-33   7.4e-33  100.2   0.0     9   223    76   279    66   279 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2412265a6f3ca725ae14737f3235e101 -           1170   8.9e-28   83.6   0.1   1   1   2.2e-27   2.2e-27   82.3   0.0    20   223    63   248    50   248 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 15dfa983aa1dab1fce0e70d46f03f194 -           1293   1.8e-31   95.7   0.1   1   1   4.3e-31   4.3e-31   94.5   0.1    19   223    91   289    71   289 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e292bc88939df7f803860c3b49bcb48f -           1118   3.2e-33  101.4   0.0   1   1     1e-32     1e-32   99.8   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 073ee1f718d0e1ae06261005cd15358a -           1129     1e-17   50.7   1.0   1   1     1e-17     1e-17   50.7   1.0    16   221    90   306    70   308 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6ec27bfb431a9086952f4ef35e4982b7 -            633   3.8e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2d98260ce52f75550589284c60218cee -           1177   1.4e-17   50.3   2.5   1   1   1.4e-17   1.4e-17   50.3   2.5    16   221    90   306    71   308 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c7097e1bd8d0a77ea21c6128882b3240 -            623   7.4e-33  100.2   0.1   1   1   1.2e-32   1.2e-32   99.5   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fffdf81c763df3d05d7e0a9ec1c186ef -            639     2e-33  102.1   0.7   1   1   3.3e-33   3.3e-33  101.4   0.7    11   222    70   268    59   269 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0e8cddadd13b0a391100ebaf0574b810 -           1155   3.3e-33  101.3   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0af76cc03c17a2cb8bf70d5d77b5dd60 -           1177   6.7e-34  103.6   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cce864669620d60680eb70c79883848f -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e6217822536ba75d42ef743b1707dec5 -           1181     4e-33  101.1   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0cb1b7df8410a38ab925cd7a5062e8b4 -           1170   1.3e-30   92.9   0.0   1   1   3.9e-30   3.9e-30   91.3   0.0    10   223    50   250    44   250 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 208d0e1f52556d2ecfd0c39564ab8bdb -           1154     5e-24   71.3   0.2   1   1     5e-24     5e-24   71.3   0.2    11   223    76   284    62   284 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 24d9807db0d63848528a3d85b8891739 -           1169   3.6e-28   84.9   0.1   1   1   7.2e-28   7.2e-28   83.9   0.1    11   222    83   292    73   293 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 54aa19fb14693767e919d01f2e05da0c -            799   4.3e-31   94.4   0.7   1   2   1.3e-26   1.3e-26   79.8   0.0    17   208    85   273    72   283 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 54aa19fb14693767e919d01f2e05da0c -            799   4.3e-31   94.4   0.7   2   2   5.1e-06   5.1e-06   12.5   0.9   196   223   283   310   276   310 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c83a82cfe7f20268e130e6e6c5fec6e1 -           1118   1.8e-17   49.9   0.0   1   1   6.3e-17   6.3e-17   48.1   0.0     8   223    48   249    45   249 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 76edc66c977de60f93c422dcdb6399b1 -            676   2.4e-32   98.5   0.2   1   1   4.1e-32   4.1e-32   97.8   0.2     1   223    71   280    71   280 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 657330026ba36b68a8f5425f916e8dc9 -           1155     4e-33  101.1   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 98dfd619d735aa845ffb573d130c7e66 -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 51a8d2b1ac3486d282a58fbd8ddab8aa -            753   9.3e-24   70.5   1.2   1   1   2.6e-23   2.6e-23   69.0   1.2    10   222   149   355   131   356 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c4a71cdb4212e89041bc151c70201d1c -           1168   2.8e-35  108.1   0.1   1   1   6.8e-35   6.8e-35  106.9   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f4f97da1fe9d39f12a766cd103152c23 -           1176   8.3e-34  103.3   0.1   1   1   4.4e-33   4.4e-33  101.0   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4867a8b47a8c324319a4c239e967bcfc -           1164   3.9e-28   84.8   1.6   1   1   7.8e-28   7.8e-28   83.8   0.0     9   222    93   299    83   300 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9011cf1482420595b5abd80679d205d4 -           1169   1.8e-24   72.8   0.0   1   1   6.1e-24   6.1e-24   71.1   0.0    13   223    51   245    45   245 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bed3fb6a4d2943a5af6195723bc11ebb -            649   1.4e-34  105.8   3.6   1   1   3.8e-34   3.8e-34  104.4   0.2    21   223    87   285    64   285 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ec044e3bf455380f0bf566315e1180fc -            723   8.6e-34  103.3   0.0   1   1   1.7e-33   1.7e-33  102.3   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0976ca3a96aeba709b8cfae5248cef5e -           1263   3.9e-21   61.9   7.4   1   1   3.9e-21   3.9e-21   61.9   7.4    13   223    90   310    76   310 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1c1e44a62b5bd6213de191fe208273ce -            618   8.6e-34  103.3   0.0   1   1   1.2e-33   1.2e-33  102.8   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3ba27a5b966e1c7ce1d8654438f0715c -           1156     9e-33   99.9   0.0   1   1   2.1e-31   2.1e-31   95.5   0.0     9   223    86   290    70   290 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 12ec5d3c68da54152c287878aa44e664 -           1169   5.3e-41  126.9   0.2   1   1   1.1e-40   1.1e-40  125.8   0.2     9   223    86   290    80   290 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a137725c5b9e7e52436913939514fe8f -           1164   1.2e-34  106.1   0.3   1   1   2.5e-34   2.5e-34  105.0   0.0     7   223    48   250    45   250 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 53555f0d2e4fae584c9b956e586e5c50 -           1118   7.9e-34  103.4   0.0   1   1   2.8e-33   2.8e-33  101.6   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 da14bf74c6497e2a10e517286f7fc9b3 -           1171   1.3e-30   92.9   0.0   1   1     4e-30     4e-30   91.3   0.0    10   223    50   250    44   250 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 efa2eeac85e50b8a7319a71a283f6d57 -           1131   3.5e-28   84.9   0.1   1   1   1.1e-27   1.1e-27   83.3   0.1    18   223    56   259    37   259 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e7eef6e77878e68857d3ff1b0bb4633e -           1178   7.8e-34  103.4   0.0   1   1   4.5e-33   4.5e-33  100.9   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 aeee811c919abf737e716856f6c0811d -            675   1.9e-25   76.0   2.9   1   1   3.8e-25   3.8e-25   75.0   2.9    52   223   129   300    95   300 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3e356950ad8f1a56e8f3dca6465021f8 -           1210   1.3e-39  122.3   0.1   1   1   1.3e-39   1.3e-39  122.3   0.1     9   223    86   290    81   290 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6898273b9c98eec7086a593e7bc0b535 -           1174   4.8e-33  100.8   0.0   1   1   1.1e-32   1.1e-32   99.6   0.0     8   223    47   249    42   249 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 925b85effe2ce0efa87f7520fecf3544 -            643   3.4e-25   75.2   0.0   1   1   6.7e-25   6.7e-25   74.2   0.0    19   222    58   239    41   240 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 548ee97718a106633a83c6abfac8d4c7 -            632     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 59b121300a4f9f240513b17ec6b72504 -            140     2e-09   23.6   0.0   1   1   2.4e-09   2.4e-09   23.3   0.0     7   108    43   137    40   140 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2d22754430acefe0d8fb63de6c5dc983 -           1147   1.5e-27   82.8   0.1   1   1   3.2e-27   3.2e-27   81.8   0.1     9   222    86   292    72   293 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f2c74c3e78154d54bbcd3347994fabb0 -           1163   6.9e-34  103.6   0.1   1   1   3.6e-33   3.6e-33  101.2   0.0     8   223    43   244    39   244 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4f5758751c5c1d6e108213baed70a698 -           1276   9.1e-26   77.0   7.2   1   1     2e-23     2e-23   69.4   0.6     7   197    68   258    62   261 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cf1de922427812510f322bfdd397adb0 -           1160   8.6e-34  103.3   0.0   1   1   5.2e-33   5.2e-33  100.7   0.0     7   223    48   250    45   250 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5601496e820027094ca9a842d27bb016 -           1177   6.9e-34  103.6   0.0   1   1   3.5e-33   3.5e-33  101.3   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
